feature,gain,split
volume,48341.72058669478,29351
open,31181.5020917356,14991
high,30968.661941699684,13927
low,25151.004985697567,13081
close,23472.08808643371,12677
IWM__close,13061.653046667576,4372
USDJPY=X__vol21,12278.211360380054,5580
USDJPY=X__close,11529.363175138831,4621
^VIX__vol21,11213.657640822232,5352
QQQ__close,10942.26517368108,3914
EURUSD=X__close,10872.680802926421,5022
LQD__close,10492.888062521815,4622
EURUSD=X__vol21,10404.98367920518,5175
LQD__vol21,9977.609850216657,4751
IWM__vol21,9645.427206933498,4564
QQQ__vol21,9525.053980141878,4351
HYG__vol21,9394.552204228938,4574
HYG__close,8636.083046972752,3863
MOVE__vol21,7463.720315724611,3225
USDJPY=X__ret21,6994.8626361861825,3927
EURUSD=X__ret21,6752.498416058719,4213
LQD__ret21,6551.08832077682,3904
MOVE__close,6109.496875457466,1925
IWM__ret21,6088.425759404898,3668
QQQ__ret21,5965.229832969606,3538
^VIX__close,5939.9572224617,3390
HYG__ret21,5579.338437564671,3314
DXY__close,5175.1131286248565,1887
^VIX__ret21,5055.242242380977,3375
DXY__vol21,4603.230212345719,1875
DXY__ret21,4464.946613967419,1702
EURUSD=X__z20,4359.728108048439,3332
USDJPY=X__z20,4299.133738428354,3188
LQD__z20,4258.223204448819,3169
IWM__z20,3837.2943643704057,3019
USDJPY=X__ret5,3604.6426395252347,3291
QQQ__z20,3542.684576615691,2855
MOVE__ret21,3475.4010751619935,2087
HYG__z20,3290.580102287233,2760
^VIX__z20,3268.9838587492704,2756
EURUSD=X__ret5,3208.631520688534,3195
^VIX__ret5,2892.122067667544,2731
LQD__ret5,2887.991488687694,2821
QQQ__ret5,2828.860065214336,2702
HYG__ret5,2628.688344027847,2498
IWM__ret5,2612.5200875774026,2607
USDJPY=X__ret1,2307.2909302935004,2875
DXY__z20,2213.3250572904944,1350
LQD__ret1,2191.5938766002655,2761
EURUSD=X__ret1,2124.424037627876,2799
MOVE__z20,2036.5923845767975,1631
^VIX__ret1,2031.1799685060978,2545
HYG__ret1,1849.6609546132386,2279
QQQ__ret1,1829.113548822701,2333
IWM__ret1,1769.7780832126737,2296
DXY__ret5,1746.2401459291577,1372
DXY__ret1,1725.3110708370805,1503
MOVE__ret5,1677.9057853519917,1401
MOVE__ret1,1007.1514557898045,1113
