feature,gain,split
vol_126,10901.60519117117,2182
ret_126,10137.280562222004,2183
volume,9879.921036481857,2078
vol_21,9757.070383906364,1964
vol_63,9562.964673757553,1965
vol_10,8267.987989664078,1914
EURGBP=X__close,7642.133957743645,1453
EURCHF=X__z20,7599.338513255119,1546
EURUSD=X__close,7588.291068136692,1483
macd_signal,7461.254592120647,1674
^TNX__z20,7422.286585867405,1495
ret_63,7417.158053100109,1601
EURGBP=X__z20,7267.79214322567,1520
^TNX__close,7095.311109542847,1271
rsi_14,7000.312237918377,1635
EURJPY=X__z20,6826.242156267166,1408
ret_21,6792.885792553425,1578
z_126,6747.794649004936,1464
vol_5,6693.676799297333,1623
^VIX__close,6570.009364485741,1298
macd,6565.4364876151085,1413
ret_10,6515.517340958118,1516
EURJPY=X__close,6323.686706662178,1156
EURUSD=X__z20,6140.71470618248,1327
EZU__close,6001.17120051384,1137
ret_5,5977.653752088547,1439
z_63,5838.584547042847,1282
EURCHF=X__close,5660.938549757004,1048
SPY__close,5616.580000042915,944
^STOXX50E__close,5306.423315346241,972
^STOXX50E__z20,5290.160822033882,1126
^VIX__z20,5289.367480516434,1192
EZU__z20,5255.6241364479065,1117
SPY__z20,5057.157341361046,1167
z_10,5052.96600407362,1237
high,4698.017298400402,960
z_21,4516.4285254478455,1092
z_5,4436.839298069477,1212
EURCHF=X__ret1,4334.40225982666,1045
close,4223.709133565426,853
open,4173.127314925194,888
v_ma_ratio_21,3980.9776722192764,1000
v_z_5,3950.7674782276154,1106
low,3944.5218049883842,846
ret_1,3909.508999168873,1091
v_ma_ratio_5,3892.269966006279,1070
EURGBP=X__ret1,3889.967526435852,1021
^TNX__ret1,3887.1644324064255,973
EURJPY=X__ret1,3881.790290772915,1032
v_z_21,3697.7916309833527,958
v_z_126,3633.7716645002365,935
EURUSD=X__ret1,3628.7304924726486,975
^VIX__ret1,3559.7072927951813,880
v_ma_ratio_126,3470.9688846468925,919
v_ma_ratio_63,3314.048460960388,839
v_z_63,3264.4273599386215,854
^STOXX50E__ret1,3226.1007531285286,851
EZU__ret1,3148.7183829545975,814
SPY__ret1,2917.082888841629,778
