symbol,url,status
AIR.PA,https://miatradingdata.blob.core.windows.net/market-data/market-data/1d/AIR.PA/AIR.PA_features_1d.csv?sv=2024-11-04&ss=bfqt&srt=sco&sp=rwdlacupiytfx&se=2028-08-15T18:58:40Z&st=2025-08-15T10:43:40Z&spr=https&sig=w35yqAYk4d19E%2FWKfzr4BO3DC3lPVJT%2B9hceaB2ZLAQ%3D,FAIL (HTTPError)
AMD,https://miatradingdata.blob.core.windows.net/market-data/market-data/1d/AMD/AMD_features_1d.csv?sv=2024-11-04&ss=bfqt&srt=sco&sp=rwdlacupiytfx&se=2028-08-15T18:58:40Z&st=2025-08-15T10:43:40Z&spr=https&sig=w35yqAYk4d19E%2FWKfzr4BO3DC3lPVJT%2B9hceaB2ZLAQ%3D,FAIL (HTTPError)
AMZN,https://miatradingdata.blob.core.windows.net/market-data/market-data/1d/AMZN/AMZN_features_1d.csv?sv=2024-11-04&ss=bfqt&srt=sco&sp=rwdlacupiytfx&se=2028-08-15T18:58:40Z&st=2025-08-15T10:43:40Z&spr=https&sig=w35yqAYk4d19E%2FWKfzr4BO3DC3lPVJT%2B9hceaB2ZLAQ%3D,FAIL (HTTPError)
ARGX,https://miatradingdata.blob.core.windows.net/market-data/market-data/1d/ARGX/ARGX_features_1d.csv?sv=2024-11-04&ss=bfqt&srt=sco&sp=rwdlacupiytfx&se=2028-08-15T18:58:40Z&st=2025-08-15T10:43:40Z&spr=https&sig=w35yqAYk4d19E%2FWKfzr4BO3DC3lPVJT%2B9hceaB2ZLAQ%3D,FAIL (HTTPError)
ASML,https://miatradingdata.blob.core.windows.net/market-data/market-data/1d/ASML/ASML_features_1d.csv?sv=2024-11-04&ss=bfqt&srt=sco&sp=rwdlacupiytfx&se=2028-08-15T18:58:40Z&st=2025-08-15T10:43:40Z&spr=https&sig=w35yqAYk4d19E%2FWKfzr4BO3DC3lPVJT%2B9hceaB2ZLAQ%3D,FAIL (HTTPError)
BA.L,https://miatradingdata.blob.core.windows.net/market-data/market-data/1d/BA.L/BA.L_features_1d.csv?sv=2024-11-04&ss=bfqt&srt=sco&sp=rwdlacupiytfx&se=2028-08-15T18:58:40Z&st=2025-08-15T10:43:40Z&spr=https&sig=w35yqAYk4d19E%2FWKfzr4BO3DC3lPVJT%2B9hceaB2ZLAQ%3D,FAIL (HTTPError)
BNTX,https://miatradingdata.blob.core.windows.net/market-data/market-data/1d/BNTX/BNTX_features_1d.csv?sv=2024-11-04&ss=bfqt&srt=sco&sp=rwdlacupiytfx&se=2028-08-15T18:58:40Z&st=2025-08-15T10:43:40Z&spr=https&sig=w35yqAYk4d19E%2FWKfzr4BO3DC3lPVJT%2B9hceaB2ZLAQ%3D,FAIL (HTTPError)
CRSP,https://miatradingdata.blob.core.windows.net/market-data/market-data/1d/CRSP/CRSP_features_1d.csv?sv=2024-11-04&ss=bfqt&srt=sco&sp=rwdlacupiytfx&se=2028-08-15T18:58:40Z&st=2025-08-15T10:43:40Z&spr=https&sig=w35yqAYk4d19E%2FWKfzr4BO3DC3lPVJT%2B9hceaB2ZLAQ%3D,FAIL (HTTPError)
EXEL,https://miatradingdata.blob.core.windows.net/market-data/market-data/1d/EXEL/EXEL_features_1d.csv?sv=2024-11-04&ss=bfqt&srt=sco&sp=rwdlacupiytfx&se=2028-08-15T18:58:40Z&st=2025-08-15T10:43:40Z&spr=https&sig=w35yqAYk4d19E%2FWKfzr4BO3DC3lPVJT%2B9hceaB2ZLAQ%3D,FAIL (HTTPError)
GD,https://miatradingdata.blob.core.windows.net/market-data/market-data/1d/GD/GD_features_1d.csv?sv=2024-11-04&ss=bfqt&srt=sco&sp=rwdlacupiytfx&se=2028-08-15T18:58:40Z&st=2025-08-15T10:43:40Z&spr=https&sig=w35yqAYk4d19E%2FWKfzr4BO3DC3lPVJT%2B9hceaB2ZLAQ%3D,FAIL (HTTPError)
GOOGL,https://miatradingdata.blob.core.windows.net/market-data/market-data/1d/GOOGL/GOOGL_features_1d.csv?sv=2024-11-04&ss=bfqt&srt=sco&sp=rwdlacupiytfx&se=2028-08-15T18:58:40Z&st=2025-08-15T10:43:40Z&spr=https&sig=w35yqAYk4d19E%2FWKfzr4BO3DC3lPVJT%2B9hceaB2ZLAQ%3D,FAIL (HTTPError)
HAG.DE,https://miatradingdata.blob.core.windows.net/market-data/market-data/1d/HAG.DE/HAG.DE_features_1d.csv?sv=2024-11-04&ss=bfqt&srt=sco&sp=rwdlacupiytfx&se=2028-08-15T18:58:40Z&st=2025-08-15T10:43:40Z&spr=https&sig=w35yqAYk4d19E%2FWKfzr4BO3DC3lPVJT%2B9hceaB2ZLAQ%3D,FAIL (HTTPError)
HIA1.F,https://miatradingdata.blob.core.windows.net/market-data/market-data/1d/HIA1.F/HIA1.F_features_1d.csv?sv=2024-11-04&ss=bfqt&srt=sco&sp=rwdlacupiytfx&se=2028-08-15T18:58:40Z&st=2025-08-15T10:43:40Z&spr=https&sig=w35yqAYk4d19E%2FWKfzr4BO3DC3lPVJT%2B9hceaB2ZLAQ%3D,FAIL (HTTPError)
HO.PA,https://miatradingdata.blob.core.windows.net/market-data/market-data/1d/HO.PA/HO.PA_features_1d.csv?sv=2024-11-04&ss=bfqt&srt=sco&sp=rwdlacupiytfx&se=2028-08-15T18:58:40Z&st=2025-08-15T10:43:40Z&spr=https&sig=w35yqAYk4d19E%2FWKfzr4BO3DC3lPVJT%2B9hceaB2ZLAQ%3D,FAIL (HTTPError)
LDO.MI,https://miatradingdata.blob.core.windows.net/market-data/market-data/1d/LDO.MI/LDO.MI_features_1d.csv?sv=2024-11-04&ss=bfqt&srt=sco&sp=rwdlacupiytfx&se=2028-08-15T18:58:40Z&st=2025-08-15T10:43:40Z&spr=https&sig=w35yqAYk4d19E%2FWKfzr4BO3DC3lPVJT%2B9hceaB2ZLAQ%3D,FAIL (HTTPError)
MRNA,https://miatradingdata.blob.core.windows.net/market-data/market-data/1d/MRNA/MRNA_features_1d.csv?sv=2024-11-04&ss=bfqt&srt=sco&sp=rwdlacupiytfx&se=2028-08-15T18:58:40Z&st=2025-08-15T10:43:40Z&spr=https&sig=w35yqAYk4d19E%2FWKfzr4BO3DC3lPVJT%2B9hceaB2ZLAQ%3D,FAIL (HTTPError)
MRVL,https://miatradingdata.blob.core.windows.net/market-data/market-data/1d/MRVL/MRVL_features_1d.csv?sv=2024-11-04&ss=bfqt&srt=sco&sp=rwdlacupiytfx&se=2028-08-15T18:58:40Z&st=2025-08-15T10:43:40Z&spr=https&sig=w35yqAYk4d19E%2FWKfzr4BO3DC3lPVJT%2B9hceaB2ZLAQ%3D,FAIL (HTTPError)
NVDA,https://miatradingdata.blob.core.windows.net/market-data/market-data/1d/NVDA/NVDA_features_1d.csv?sv=2024-11-04&ss=bfqt&srt=sco&sp=rwdlacupiytfx&se=2028-08-15T18:58:40Z&st=2025-08-15T10:43:40Z&spr=https&sig=w35yqAYk4d19E%2FWKfzr4BO3DC3lPVJT%2B9hceaB2ZLAQ%3D,FAIL (HTTPError)
